Time_3	F_3:1	D_3:1	F_3:3	D_3:3	F_3:5	D_3:5	F_3:7	D_3:7	F_3:9	D_3:9	F_3:11	D_3:11	F_3:13	D_3:13
4384.17038193718	-2.51713863853365	-3.38802486178087	-11.4187632687035	5.00151471718556	-9.82563264398359	4.26785076474226	-8.40377406949808	3.72002151990604	-7.06173497931564	3.31322172694559	-6.21760203954984	2.9811165029435	-5.57931351927933	2.79107527794504
4389.47596634086	-2.51279392652214	-3.4255823763321	-11.6003315541539	4.98203059294173	-9.96751316963209	4.19647452483834	-8.43539742767104	3.73369495274474	-7.07093993819176	3.32852530152187	-6.36631929869129	2.98292442395859	-5.57511771908499	2.83218021257885
4394.78612097725	-2.58359521627426	-3.39034153037562	-11.6197186956447	5.03285855226486	-9.89127179934157	4.21072119857759	-8.41811622320899	3.72346333129993	-7.0822692686957	3.33483644292165	-6.34205085101605	2.96463137572796	-5.6326408498821	2.8080276706031
4400.08689689264	-2.55507719237357	-3.41911156034706	-11.5618191578383	4.93464963485204	-9.86288202358846	4.2605549442583	-8.38569430435707	3.72789217418775	-7.08040452744995	3.33465395134888	-6.27231648829986	3.0165966541475	-5.65122274804886	2.85009880294573
4405.36994948331	-2.52490288950503	-3.42482698499077	-11.59862460565	5.01773411243918	-9.87896503014954	4.30501723214925	-8.37633668698715	3.72375304814828	-7.05561613039577	3.3375023857249	-6.31826847380018	3.00476763760305	-5.58565592516239	2.8269931504199
4410.67082283832	-2.46937255002558	-3.39733171652289	-11.6192125652874	4.95102258543168	-9.90711995093616	4.2740751859132	-8.38266720370854	3.7170776758675	-7.06779414742919	3.32867545369795	-6.26816552465772	3.00212484612494	-5.57385621314184	2.85010162074612
4415.97534860764	-2.60019032564014	-3.3989889383501	-11.5551478688562	5.03712265403789	-9.92003483130102	4.24734180829309	-8.31109097986707	3.71297785638263	-7.07303211420508	3.34539804859379	-6.33604998610401	2.99569604372664	-5.52551379779512	2.80963718162355
4421.27749936469	-2.46241120249033	-3.41449013544746	-11.6974890436622	5.01559758322836	-9.97896795599254	4.2782998020545	-8.3347522218665	3.70665660010241	-7.02025781982234	3.33623855020267	-6.35106112531805	3.00515612784403	-5.57665563927545	2.83473777049989
4426.57177008502	-2.50255563575774	-3.41006254885803	-11.6594157553855	5.01947693228033	-9.93097111760144	4.27965140948364	-8.41589973827883	3.72851564970892	-7.04476634740563	3.33060712769353	-6.350286254776	2.9967659531635	-5.52199905803896	2.83288086437512
4431.86288879067	-2.56435781903565	-3.39211889976087	-11.5770537182334	5.00487434406293	-9.87428822992833	4.23866822468519	-8.40063233102371	3.75113190553101	-7.0794174339681	3.33971424710122	-6.38176608419037	3.00529369938129	-5.63222657926095	2.85969644473342
